Donor Type,Donor Age,Donor State of Residence,All Donors - All ABO,All Donors - O,All Donors - A,All Donors - B,All Donors - AB,All Donors - Unknown,Kidney - All ABO,Kidney - O,Kidney - A,Kidney - B,Kidney - AB,Kidney - Unknown,Liver - All ABO,Liver - O,Liver - A,Liver - B,Liver - AB,Liver - Unknown,Heart - All ABO,Heart - O,Heart - A,Heart - B,Heart - AB,Heart - Unknown,Pancreas - All ABO,Pancreas - O,Pancreas - A,Pancreas - B,Pancreas - AB,Pancreas - Unknown,Lung - All ABO,Lung - O,Lung - A,Lung - B,Lung - AB,Lung - Unknown,Intestine - All ABO,Intestine - O,Intestine - A,Intestine - B,Intestine - AB,Intestine - Unknown
,,Wyoming,10,5,5,0,0,0,4,1,3,0,0,0,4,3,1,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1-5 Years,All Donor States of Residence,6694,3224,2473,757,239,1,6183,2958,2301,702,222,0,5363,2677,1974,588,124,0,2956,1680,966,255,54,1,541,279,188,60,14,0,301,196,87,18,0,0,789,424,273,75,17,0
,,Alabama,106,53,40,10,3,0,98,49,38,8,3,0,88,44,35,6,3,0,45,24,16,5,0,0,6,3,3,0,0,0,4,3,1,0,0,0,12,8,4,0,0,0
,,Alaska,27,10,14,2,1,0,25,10,13,1,1,0,20,9,9,2,0,0,7,2,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Arizona,141,78,49,14,0,0,133,72,47,14,0,0,117,68,39,10,0,0,71,44,22,5,0,0,5,2,2,1,0,0,3,3,0,0,0,0,14,9,4,1,0,0
,,Arkansas,59,29,20,6,4,0,56,28,20,4,4,0,45,21,17,5,2,0,27,11,10,3,3,0,6,2,2,2,0,0,3,2,1,0,0,0,6,2,2,2,0,0
,,California,639,312,245,58,24,0,575,275,222,55,23,0,520,255,206,49,10,0,317,187,104,21,5,0,21,11,7,2,1,0,24,14,8,2,0,0,45,25,16,4,0,0
,,Colorado,75,36,25,10,4,0,64,30,23,7,4,0,57,26,21,9,1,0,32,17,10,4,1,0,3,0,3,0,0,0,2,2,0,0,0,0,9,2,5,2,0,0
,,Connecticut,43,22,16,2,3,0,41,21,15,2,3,0,32,15,13,2,2,0,15,8,7,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,7,5,2,0,0,0
,,Delaware,19,9,4,5,1,0,19,9,4,5,1,0,15,6,3,5,1,0,7,2,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
,,District of Columbia,7,4,1,1,1,0,7,4,1,1,1,0,5,3,0,1,1,0,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
